type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-01-12 23:02:48,50.84937196,5.70353934,4,96.127,,2.866,168,25,27,,
T,2021-01-12 23:02:49,50.84933598,5.70354741,4,96.124,,2.855,167,26,28,,
T,2021-01-12 23:02:50,50.84930017,5.70355644,4,96.122,,2.859,166,23,25,,
T,2021-01-12 23:02:51,50.84926204,5.70356814,4,96.119,,2.873,170,23,25,,
T,2021-01-12 23:02:52,50.84922538,5.70357820,4,96.117,,2.932,168,25,27,,
T,2021-01-12 23:02:53,50.84918281,5.70358891,4,96.100,,3.034,169,25,27,,
T,2021-01-12 23:02:54,50.84913292,5.70360202,4,96.092,,3.145,169,23,26,,
T,2021-01-12 23:02:55,50.84908901,5.70361364,4,96.092,,3.235,170,23,25,,
T,2021-01-12 23:02:56,50.84904572,5.70362344,4,96.091,,3.290,168,23,25,,
T,2021-01-12 23:02:57,50.84901028,5.70363482,4,96.091,,3.316,168,24,26,,
T,2021-01-12 23:02:58,50.84897504,5.70364684,4,96.091,,3.362,168,24,26,,
T,2021-01-12 23:02:59,50.84892891,5.70366627,4,96.084,,3.444,175,24,26,,
T,2021-01-12 23:03:00,50.84888386,5.70367788,4,96.083,,3.513,165,24,26,,
T,2021-01-12 23:03:01,50.84884740,5.70370026,4,96.083,,3.560,163,24,26,,
T,2021-01-12 23:03:02,50.84880805,5.70372613,4,96.083,,3.594,161,24,26,,
T,2021-01-12 23:03:03,50.84876389,5.70375945,4,96.085,,3.611,168,23,25,,
T,2021-01-12 23:03:04,50.84872377,5.70378109,4,96.088,,3.621,167,23,25,,
T,2021-01-12 23:03:05,50.84868875,5.70379427,4,96.092,,3.632,164,23,25,,
T,2021-01-12 23:03:06,50.84865430,5.70380971,4,96.096,,3.628,164,23,25,,
T,2021-01-12 23:03:07,50.84862164,5.70382758,4,96.100,,3.619,165,24,26,,
T,2021-01-12 23:03:08,50.84858857,5.70384452,4,96.104,,3.621,164,24,26,,
T,2021-01-12 23:03:09,50.84855517,5.70386101,4,96.107,,3.628,162,22,25,,
T,2021-01-12 23:03:10,50.84852049,5.70388225,4,96.111,,3.631,162,22,25,,
T,2021-01-12 23:03:11,50.84848031,5.70390832,4,96.113,,3.622,160,22,25,,
T,2021-01-12 23:03:12,50.84844166,5.70393495,4,96.117,,3.602,160,23,26,,
T,2021-01-12 23:03:13,50.84841093,5.70395321,4,96.120,,3.572,160,23,26,,
T,2021-01-12 23:03:14,50.84837769,5.70397683,4,96.123,,3.547,162,23,26,,
T,2021-01-12 23:03:15,50.84834432,5.70399661,4,96.125,,3.540,166,23,26,,
T,2021-01-12 23:03:16,50.84830858,5.70401389,4,96.128,,3.550,160,24,27,,
T,2021-01-12 23:03:17,50.84827333,5.70403564,4,96.130,,3.548,161,24,27,,
T,2021-01-12 23:03:18,50.84823761,5.70405646,4,96.132,,3.537,163,24,26,,
T,2021-01-12 23:03:19,50.84820372,5.70407345,4,96.133,,3.503,168,24,26,,
T,2021-01-12 23:03:20,50.84817478,5.70408185,4,96.134,,3.455,172,24,26,,
T,2021-01-12 23:03:21,50.84814540,5.70408959,4,96.135,,3.410,166,24,26,,
T,2021-01-12 23:03:22,50.84811555,5.70410238,4,96.135,,3.381,157,24,27,,
T,2021-01-12 23:03:23,50.84808623,5.70412087,4,96.134,,3.365,163,23,27,,
T,2021-01-12 23:03:24,50.84804823,5.70414065,4,96.134,,3.373,165,23,27,,
T,2021-01-12 23:03:25,50.84800658,5.70415913,4,96.133,,3.396,160,23,27,,
T,2021-01-12 23:03:26,50.84796437,5.70418207,4,96.132,,3.396,166,21,25,,
T,2021-01-12 23:03:27,50.84793315,5.70419567,4,96.131,,3.382,167,21,26,,
T,2021-01-12 23:03:28,50.84790339,5.70420739,4,96.131,,3.360,167,21,26,,
T,2021-01-12 23:03:29,50.84787363,5.70422098,4,96.129,,3.323,168,21,26,,
T,2021-01-12 23:03:30,50.84784773,5.70423350,4,96.128,,3.283,169,21,26,,
T,2021-01-12 23:03:31,50.84781735,5.70424757,4,96.127,,3.250,162,21,24,,
T,2021-01-12 23:03:32,50.84778342,5.70426763,4,96.125,,3.227,165,23,26,,
T,2021-01-12 23:03:33,50.84774940,5.70428398,4,96.124,,3.213,167,22,26,,
T,2021-01-12 23:03:34,50.84771501,5.70429925,4,96.123,,3.211,165,22,26,,
T,2021-01-12 23:03:35,50.84768384,5.70431392,4,96.121,,3.210,174,24,27,,
T,2021-01-12 23:03:36,50.84764999,5.70432562,4,96.120,,3.197,179,25,27,,
T,2021-01-12 23:03:37,50.84761696,5.70432938,4,96.118,,3.168,187,24,27,,
T,2021-01-12 23:03:38,50.84758836,5.70432353,3,96.117,,3.111,203,25,27,,
T,2021-01-12 23:03:39,50.84756885,5.70431160,3,96.115,,3.056,218,25,27,,
T,2021-01-12 23:03:40,50.84754923,5.70428897,3,96.113,,2.991,222,25,27,,
T,2021-01-12 23:03:41,50.84753347,5.70426983,3,96.111,,2.919,230,24,27,,
T,2021-01-12 23:03:42,50.84752104,5.70424885,3,96.110,,2.834,247,24,27,,
T,2021-01-12 23:03:44,50.84750950,5.70419338,3,96.106,,2.691,256,25,27,,
T,2021-01-12 23:03:45,50.84750546,5.70415909,3,96.103,,2.640,273,23,25,,
T,2021-01-12 23:03:46,50.84750629,5.70412114,3,96.101,,2.613,271,24,26,,
T,2021-01-12 23:03:47,50.84750567,5.70406997,3,96.099,,2.599,269,24,26,,
T,2021-01-12 23:03:48,50.84750408,5.70402306,3,96.097,,2.590,271,24,26,,
T,2021-01-12 23:03:49,50.84750477,5.70398426,3,96.095,,2.588,270,24,26,,
T,2021-01-12 23:03:50,50.84750394,5.70394153,3,96.093,,2.581,270,23,25,,
T,2021-01-12 23:03:51,50.84750292,5.70390081,3,96.091,,2.572,266,24,27,,
T,2021-01-12 23:03:52,50.84750046,5.70386532,3,96.089,,2.560,272,25,27,,
T,2021-01-12 23:03:53,50.84750051,5.70383265,3,96.088,,2.551,275,25,27,,
T,2021-01-12 23:03:54,50.84750101,5.70379095,3,96.087,,2.544,275,24,26,,
T,2021-01-12 23:03:55,50.84750245,5.70375193,3,96.087,,2.535,275,24,26,,
T,2021-01-12 23:03:56,50.84750322,5.70370642,3,96.088,,2.520,275,23,25,,
T,2021-01-12 23:03:57,50.84750327,5.70366799,3,96.088,,2.505,273,24,26,,
T,2021-01-12 23:03:58,50.84750369,5.70363104,3,96.089,,2.486,272,24,26,,
T,2021-01-12 23:03:59,50.84750263,5.70359003,3,96.091,,2.450,273,24,26,,
T,2021-01-12 23:04:00,50.84750262,5.70355630,3,96.093,,2.396,272,25,27,,
T,2021-01-12 23:04:01,50.84750210,5.70352779,3,96.096,,2.302,273,25,27,,
